system:index,LC_Type1,LC_Type2,Unnamed_ 0,datetime,google:max_source_file_timestamp,latitude,longitude,school_id,timestamp,.geo
2020_01_01_00000000000000001052,2.0,2.0,4178,2020-01-01 00:00:00,1.640916859E12,13.733966,122.316885,108854,1577836800000,"{""type"":""Point"",""coordinates"":[122.31688308180432,13.733964358097506]}"
2020_01_01_000000000000000016cd,14.0,14.0,5837,2020-01-01 00:00:00,1.640916859E12,14.604405,121.260102,165512,1577836800000,"{""type"":""Point"",""coordinates"":[121.26010288674392,14.604403179235405]}"
2020_01_01_000000000000000002a8,12.0,12.0,680,2020-01-01 00:00:00,1.640916859E12,14.99135059,120.9049223,105122,1577836800000,"{""type"":""Point"",""coordinates"":[120.90492211053383,14.991350591350285]}"
2020_01_01_000000000000000007d0,12.0,12.0,2000,2020-01-01 00:00:00,1.640916859E12,15.74414377,120.5796558,106531,1577836800000,"{""type"":""Point"",""coordinates"":[120.57965744329125,15.744144949395121]}"
2020_01_01_00000000000000000a5c,12.0,12.0,2652,2020-01-01 00:00:00,1.640916859E12,13.95444444,120.7513889,107245,1577836800000,"{""type"":""Point"",""coordinates"":[120.75139080216263,13.954444609685135]}"
2020_01_01_0000000000000000134a,8.0,8.0,4938,2020-01-01 00:00:00,1.640916859E12,13.93070754,121.2180477,109649,1577836800000,"{""type"":""Point"",""coordinates"":[121.21804910470888,13.93070881477764]}"
2020_01_01_00000000000000000df3,12.0,12.0,3571,2020-01-01 00:00:00,1.640916859E12,14.193125,121.291223,108211,1577836800000,"{""type"":""Point"",""coordinates"":[121.29122295299595,14.193126911772934]}"
2020_01_01_000000000000000005fb,13.0,13.0,1531,2020-01-01 00:00:00,1.640916859E12,14.97856944,120.5788111,106040,1577836800000,"{""type"":""Point"",""coordinates"":[120.57881021409108,14.978570807731105]}"
2020_01_01_00000000000000001033,2.0,2.0,4147,2020-01-01 00:00:00,1.640916859E12,13.825537,122.389884,108823,1577836800000,"{""type"":""Point"",""coordinates"":[122.38988302515024,13.825536457331069]}"
2020_01_01_000000000000000006f5,9.0,9.0,1781,2020-01-01 00:00:00,1.640916859E12,15.004168,120.60368,106294,1577836800000,"{""type"":""Point"",""coordinates"":[120.60367862066616,15.00416604777788]}"
2020_01_01_000000000000000006fb,9.0,9.0,1787,2020-01-01 00:00:00,1.640916859E12,15.004168,120.60368,106300,1577836800000,"{""type"":""Point"",""coordinates"":[120.60367862066616,15.00416604777788]}"
2020_01_01_000000000000000013e2,8.0,8.0,5090,2020-01-01 00:00:00,1.640916859E12,14.093041,121.35368,109808,1577836800000,"{""type"":""Point"",""coordinates"":[121.35368158145154,14.093042388628339]}"
2020_01_01_00000000000000000b39,13.0,13.0,2873,2020-01-01 00:00:00,1.640916859E12,13.9582923,121.1157867,107487,1577836800000,"{""type"":""Point"",""coordinates"":[121.1157885402502,13.958292813894259]}"
2020_01_01_000000000000000005ad,13.0,13.0,1453,2020-01-01 00:00:00,1.640916859E12,15.09370716,120.8188644,105960,1577836800000,"{""type"":""Point"",""coordinates"":[120.81886591930336,15.093709256032136]}"
2020_01_01_00000000000000001113,2.0,2.0,4371,2020-01-01 00:00:00,1.640916859E12,14.02401901,122.1789551,109054,1577836800000,"{""type"":""Point"",""coordinates"":[122.17895416801908,14.024019963422052]}"
2020_01_01_000000000000000005c8,9.0,9.0,1480,2020-01-01 00:00:00,1.640916859E12,14.9827994,120.5163713,105988,1577836800000,"{""type"":""Point"",""coordinates"":[120.51636942203972,14.982798035529772]}"
2020_01_01_00000000000000000246,13.0,13.0,582,2020-01-01 00:00:00,1.640916859E12,14.8745907,120.8622211,105014,1577836800000,"{""type"":""Point"",""coordinates"":[120.86222175884602,14.874589030265795]}"
2020_01_01_00000000000000001063,2.0,2.0,4195,2020-01-01 00:00:00,1.640916859E12,13.80440834,122.157669,108873,1577836800000,"{""type"":""Point"",""coordinates"":[122.15767087869101,13.804409236539842]}"
2020_01_01_00000000000000000854,12.0,12.0,2132,2020-01-01 00:00:00,1.640916859E12,15.540627,120.407626,106678,1577836800000,"{""type"":""Point"",""coordinates"":[120.40762532464933,15.540627118214799]}"
2020_01_01_000000000000000004d4,12.0,12.0,1236,2020-01-01 00:00:00,1.640916859E12,15.768342,120.98156,105719,1577836800000,"{""type"":""Point"",""coordinates"":[120.98156068033938,15.768340031711116]}"
2020_01_01_00000000000000000255,12.0,12.0,597,2020-01-01 00:00:00,1.640916859E12,15.08781089,120.9949992,105029,1577836800000,"{""type"":""Point"",""coordinates"":[120.99500041091447,15.08780986533842]}"
2020_01_01_00000000000000000ead,14.0,14.0,3757,2020-01-01 00:00:00,1.640916859E12,14.246699,121.372862,108407,1577836800000,"{""type"":""Point"",""coordinates"":[121.37286017508242,14.246698551829033]}"
2020_01_01_0000000000000000133f,17.0,0.0,4927,2020-01-01 00:00:00,1.640916859E12,14.48078472,120.9012105,109637,1577836800000,"{""type"":""Point"",""coordinates"":[120.90121213845735,14.480783520730728]}"
2020_01_01_00000000000000000946,13.0,13.0,2374,2020-01-01 00:00:00,1.640916859E12,15.055605,120.070947,106932,1577836800000,"{""type"":""Point"",""coordinates"":[120.07094535870993,15.055606237530432]}"
2020_01_01_000000000000000007a9,12.0,12.0,1961,2020-01-01 00:00:00,1.640916859E12,15.56401712,120.5893359,106485,1577836800000,"{""type"":""Point"",""coordinates"":[120.58933369257724,15.564015103240122]}"
2020_01_01_0000000000000000009e,13.0,13.0,158,2020-01-01 00:00:00,1.640916859E12,14.86841682,120.4692942,104575,1577836800000,"{""type"":""Point"",""coordinates"":[120.46929469221845,14.86841763440783]}"
2020_01_01_00000000000000000e49,13.0,13.0,3657,2020-01-01 00:00:00,1.640916859E12,14.17749046,121.2186774,108303,1577836800000,"{""type"":""Point"",""coordinates"":[121.21867783795742,14.177488844378498]}"
2020_01_01_00000000000000000efd,12.0,12.0,3837,2020-01-01 00:00:00,1.640916859E12,14.42320791,121.4487711,108489,1577836800000,"{""type"":""Point"",""coordinates"":[121.44877191141627,14.423207607928632]}"
2020_01_01_00000000000000000bbd,14.0,14.0,3005,2020-01-01 00:00:00,1.640916859E12,13.837663,121.34288,107620,1577836800000,"{""type"":""Point"",""coordinates"":[121.34288163870009,13.837665212196441]}"
2020_01_01_00000000000000001637,8.0,8.0,5687,2020-01-01 00:00:00,1.640916859E12,15.683398,121.208735,159020,1577836800000,"{""type"":""Point"",""coordinates"":[121.20873404260824,15.683398615744027]}"
2020_01_01_00000000000000000eb2,12.0,12.0,3762,2020-01-01 00:00:00,1.640916859E12,14.24995,121.360031,108412,1577836800000,"{""type"":""Point"",""coordinates"":[121.36003134135166,14.249949236496994]}"
2020_01_01_000000000000000008bb,12.0,12.0,2235,2020-01-01 00:00:00,1.640916859E12,15.53559792,120.6888244,106786,1577836800000,"{""type"":""Point"",""coordinates"":[120.6888251552817,15.535597252226507]}"
2020_01_01_000000000000000002fe,12.0,12.0,766,2020-01-01 00:00:00,1.640916859E12,15.645245,121.176679,105211,1577836800000,"{""type"":""Point"",""coordinates"":[121.17667756513501,15.645246547130743]}"
2020_01_01_00000000000000000f78,8.0,8.0,3960,2020-01-01 00:00:00,1.640916859E12,14.007552,121.469363,108624,1577836800000,"{""type"":""Point"",""coordinates"":[121.4693640400811,14.007552503231675]}"
2020_01_01_0000000000000000001c,10.0,10.0,28,2020-01-01 00:00:00,1.640916859E12,16.468636,122.214409,104438,1577836800000,"{""type"":""Point"",""coordinates"":[122.21440848049505,16.468637393053736]}"
2020_01_01_000000000000000007ad,12.0,12.0,1965,2020-01-01 00:00:00,1.640916859E12,15.48780771,120.7143617,106489,1577836800000,"{""type"":""Point"",""coordinates"":[120.71436242701483,15.487809066236732]}"
2020_01_01_00000000000000001341,17.0,0.0,4929,2020-01-01 00:00:00,1.640916859E12,14.47030017,120.8890952,109639,1577836800000,"{""type"":""Point"",""coordinates"":[120.88909676089514,14.47030017415407]}"
