Savannas,Grasslands,Urban and built-up,Croplands,Forests,Waterbodies & Wetlands
0.0007213040985433737,0.004232758442831016,0.010654236437194157,0.0013053901224701913,0.009591437910245434,0.0013718318418075477
0.016963701589558636,0.011989373776332564,0.00847311025387814,0.00047333845719671713,0.010280823961603406,0.012188562278539105
0.010755552241326708,0.0011000438243686256,0.005614474510144556,0.01026275414525808,0.02380645148104547,0.013780479222698941
0.01711075808047583,0.011751195862201767,0.012700282367537195,0.007403394964222329,0.0007959421003971652,0.016565374989327187
0.0009403485910441364,0.00546782958154368,0.00024972321593219273,0.011045926934617195,0.02389607654496052,0.0033758611626963798
0.013814503178935669,0.012557635091936315,0.009774523764145258,0.0006480173590342603,0.011267535762699772,0.013673876152663935
0.011183550279121629,0.0008780125103395155,0.007139821950223986,0.00025575109361517494,0.004493260492472888,0.010027525854892418
0.00584278080087659,0.010847256008776257,0.0075564101707269625,0.009557838308276298,0.023232911456846937,0.006662837794569672
0.01674281979981604,0.004980768145375486,0.014397396599347384,0.008449797425331425,0.0009762141258204908,0.01589569758847763
0.005858357038014659,0.01510177545607698,0.0015736339966593354,0.008864025430766101,0.02129053960652112,0.0007143698103440915
0.016477083838412728,0.000984057759474411,0.0007185422626115429,0.013621684260827679,0.01703454515523925,0.010108989444586748
0.0010278809076129198,0.014558438064404747,0.014187614603432418,0.0017194601297752588,0.01256221033848221,0.008937106106450649
0.013057949929833688,0.007731852964500364,0.010130845477818482,0.0010152385269993332,0.004704561044817827,0.005326776556629952
0.01028264860173593,0.015242067386132528,0.006422276735717563,0.01361821787762051,0.02221419568112633,0.014020534161010074
0.005230357845347186,0.0005680197242859095,0.016428989724448582,0.01031736883205944,0.0010695319560383371,0.002724277517183231
0.017150334456198606,0.012350890727920866,0.0018563059190257088,0.006659491891804106,0.00037060045216181505,0.00119689774643528
0.0008171042527004155,0.008326627074543165,0.009081926713678846,0.014782932210873765,0.020120908136237157,0.01040774486103996
0.016119238278412475,0.008448658851004735,0.01230004661441467,0.001582542780914163,0.0037310874625428084,0.007425110196806694
0.009759460477593997,0.005587024512714758,0.0076143773177195775,0.012643096512075423,0.021281737352252188,0.01169160936699539
0.011161444188272715,0.015782145518246873,0.014829072309899207,0.011463875077830836,0.0008530986907819635,0.0018662833125213457
0.016430791396420813,0.0008253826569329771,0.002238065536226702,0.011118098565093545,0.000260467761546328,0.00030984513746584697
0.000972088078242133,0.0006194282817053181,0.003773359299804125,0.017042698065689227,0.016579916850979832,0.0010051623068220627
0.011427719279368607,0.016602616312435498,0.001423292758482657,0.002097473048774808,0.017984097043854643,0.0064941156105917
0.009118678236162867,0.009600899739425238,0.013817909605282095,0.01669814244758982,0.014277349323986872,0.005525974628052425
0.01633414707866617,0.017040348655104117,0.009245569979108196,0.012365426768843642,0.0032936223928605405,0.01064175465067879
